Issue Id,Issue Type,Summary,Description,Epic Name,Epic Link,Parent Id,Labels,Story Points
E1,Epic,Project Setup & Configuration,"Establish the foundation for the React frontend application with proper tooling, configuration, and dependencies.",Project Setup & Configuration,,,frontend;setup,
E1-1,Story,Initial Project Creation,"Create and initialize the React project.",,E1,,frontend;setup,1
E1-1-1,Sub-task,Create React project with Vite + TypeScript,"Create a new React project using Vite and TypeScript in the src/main/frontend directory.",,,E1-1,frontend;setup,
E1-1-2,Sub-task,Establish base project structure,"Set up the basic project structure following best practices.",,,E1-1,frontend;setup,
E1-1-3,Sub-task,Configure package.json metadata,"Configure the initial package.json with appropriate metadata.",,,E1-1,frontend;setup,
E1-2,Story,Vite Configuration,"Configure development and build tooling in Vite.",,E1,,frontend;build,2
E1-2-1,Sub-task,Enable HMR in Vite dev server,"Configure Vite for development with hot module replacement.",,,E1-2,frontend;build,
E1-2-2,Sub-task,Set up backend proxy,"Set up proxy settings to forward API requests to the Spring Boot backend.",,,E1-2,frontend;build,
E1-2-3,Sub-task,Configure path aliases,"Configure path aliases for cleaner imports.",,,E1-2,frontend;build,
E1-2-4,Sub-task,Set build output dir,"Configure build output directory to target/classes/static.",,,E1-2,frontend;build,
E1-3,Story,Environment Configuration,"Implement environment management across environments.",,E1,,frontend;config,1
E1-3-1,Sub-task,Define environment variables,"Create environment variable configuration for development, testing, and production.",,,E1-3,frontend;config,
E1-3-2,Sub-task,Create .env files,"Set up .env files for different environments.",,,E1-3,frontend;config,
E1-3-3,Sub-task,Load env in app,"Implement environment variable loading in the application.",,,E1-3,frontend;config,
E1-4,Story,UI Library Setup,"Set up Tailwind, Shadcn, and Radix UI.",,E1,,frontend;ui,3
E1-4-1,Sub-task,Install Tailwind + PostCSS,"Install and configure Tailwind CSS with proper PostCSS setup.",,,E1-4,frontend;ui,
E1-4-2,Sub-task,Add Shadcn and Radix UI,"Set up Shadcn component library with the project's design system and configure Radix UI primitives.",,,E1-4,frontend;ui,
